filename,code_token_count,input_token_count_with_special,exceeds_510
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,58,60,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,54,56,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,67,69,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,78,80,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,74,76,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,107,109,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,103,105,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,116,118,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,127,129,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,123,125,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,66,68,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,62,64,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,75,77,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,86,88,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,82,84,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,52,54,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,48,50,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,61,63,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,72,74,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,68,70,False
